search URL:,https://patents.google.com/?q=TAC%253d%28%28%E2%80%9Ccarbon+capture%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Acapture%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Atrap%2A%E2%80%9D+OR+%E2%80%9CCO2+capture%E2%80%9D+OR+%E2%80%9Ccarbon%2Aseparat%2A%E2%80%9D+OR+%E2%80%9CCO2+separat%2A%E2%80%9D+OR+%E2%80%9Ccaptur%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccaptur%2A+CO2%E2%80%9D+OR+%E2%80%9Cseparat%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cabsorb%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccompress%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Ccarbon%2Aabsor%2A%E2%80%9D+OR+%E2%80%9CCO2+absor%2A%E2%80%9D+OR+%E2%80%9Ccarbon%2Acompress%2A%E2%80%9D+OR+%E2%80%9CCO2+compress%2A%E2%80%9D+OR+%28%28%E2%80%9Csolvent+regenerat%2A%E2%80%9D+OR+%E2%80%9Csolvent+recover%2A%E2%80%9D%29+AND+%E2%80%9Ccarbon%E2%80%9D%29%29+%28%E2%80%9Ccarbon+storage%E2%80%9D+OR+%E2%80%9Ccarbon+sequest%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Astorage%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Asequest%2A%E2%80%9D+OR+%E2%80%9CCO2+storage%E2%80%9D+OR+%E2%80%9CCO2+sequest%2A%E2%80%9D+OR+%E2%80%9Ccarbon+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbon+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2A+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2A+utilis%2A%E2%80%9D+OR+%E2%80%9CCO2+utiliz%2A%E2%80%9D+OR+%E2%80%9CCO2+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarboniz%2A+utiliz%2A%E2%80%9D+OR+%E2%80%9Ccarbonis%2A+utilis%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Ainject%2A%E2%80%9D+OR+%E2%80%9Ccarbon+dioxide%2Ainject%2A%E2%80%9D+OR+%28%28%E2%80%9Cleakage%E2%80%9D+OR+%E2%80%9Cmonitor%2A%22%29+AND+%28%22carbon+dioxide%E2%80%9D%29+AND+%28%22storage%22+OR+%22sequest%2A%22%29%29+OR+%E2%80%9Csequest%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cinject%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cutiliz%2A+carbon+dioxide%E2%80%9D+OR+%E2%80%9Cutilis%2A+carbon+dioxide%E2%80%9D%29%29&before=priority:20230731&after=priority:20130101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2017276466-B2,Ocean carbon capture and storage method and device ,Marine Protech Limited,Sigan Peng,2016-06-11,2017-06-08,2022-06-02,2022-06-02,https://patents.google.com/patent/AU2017276466B2/en,
US-11512402-B2,"High pressure process for CO2 capture, utilization for heat recovery, power cycle, super-efficient hydrogen based fossil power generation and conversion of liquid CO2 with water to syngas and oxygen ",Faramarz Bairamijamal,Faramarz Bairamijamal,2013-02-21,2014-02-19,2022-11-29,2022-11-29,https://patents.google.com/patent/US11512402B2/en,https://patentimages.storage.googleapis.com/b0/d6/42/938f2a6ab45e31/US11512402-20221129-D00000.png
US-9285112-B2,Method for energy storage to utilize intermittent renewable energy and low-value electricity for CO2 capture and utilization ,University Of Kentucky Research Foundation,"Kunlei Liu, James Kyle Neathery, Joseph Eugene Remias, Cameron Anthony Lippert, Nick Edward Holubowitch",2013-01-29,2014-01-28,2016-03-15,2016-03-15,https://patents.google.com/patent/US9285112B2/en,https://patentimages.storage.googleapis.com/32/d1/55/af53a72d8d2d87/US09285112-20160315-D00000.png
US-10577248-B2,Methods and systems for large scale carbon dioxide utilization from Lake Kivu via a CO2 industrial utilization hub integrated with electric power production and optional cryo-energy storage ,Harper Biotech LLC,"Charles L. HARPER, JR.",2016-05-24,2017-05-24,2020-03-03,2020-03-03,https://patents.google.com/patent/US10577248B2/en,https://patentimages.storage.googleapis.com/fc/77/eb/5a84c864636747/US10577248-20200303-D00001.png
JP-6527966-B2,High efficiency fuel cell system and method having a carbon dioxide capture assembly ,"フュエルセル エナジー， インコーポレイテッドＦｕｅｌｃｅｌｌ Ｅｎｅｒｇｙ， Ｉｎｃ．, フュエルセル  エナジー，  インコーポレイテッド","ムハンマド ファルーク，, ムハンマド ファルーク，, カーラ ジュハス，, カーラ ジュハス，, ラマクリシュナン ヴェンカタラマン，, ラマクリシュナン ヴェンカタラマン，",2015-06-05,2016-06-03,2019-06-12,2019-06-12,https://patents.google.com/patent/JP6527966B2/en,https://patentimages.storage.googleapis.com/c2/04/d5/549df4622f6f06/0006527966-2.png
AU-2014235196-B2,Integrated power generation and carbon capture using fuel cells ,Exxonmobil Research & Engineering Company,"Timothy Andrew BARCKHOLTZ, Paul J. Berlowitz, Frank Hershkowitz",2013-03-15,2014-03-13,2018-07-12,2018-07-12,https://patents.google.com/patent/AU2014235196B2/en,
US-2021236989-A1,Ammonia Mediated Carbon Dioxide (CO2) Sequestration Methods and Systems ,Blue Planet Systems Corporation,"Brent R. Constantz, Jacob Schneider, Mark Bewernitz",2016-03-25,2021-02-16,2021-08-05,,https://patents.google.com/patent/US20210236989A1/en,https://patentimages.storage.googleapis.com/a7/63/e0/8117f7943fdf4b/US20210236989A1-20210805-D00000.png
US-11041420-B2,"Carbon capture system, apparatus, and method ","M-Trigen, Inc.","Donald Williams, Erik Rodriguez",2016-09-21,2017-09-21,2021-06-22,2021-06-22,https://patents.google.com/patent/US11041420B2/en,https://patentimages.storage.googleapis.com/02/a5/bd/90b5343f001d42/US11041420-20210622-D00000.png
JP-6092426-B2,Conversion of carbon dioxide to hydrocarbon fuel by a syngas production cell utilized from solar radiation ,"サウジ アラビアン オイル カンパニー, サウジ  アラビアン  オイル  カンパニー","ハッマード，アフマド，ディー．, ユースフ，ザキ, スーエンティー，スタマティオス, アル−ラシーディ，ナイフ，エー．, ファドヘル，バンダル，エー．, アル−ザフラニ，アテフ，サイード",2013-01-04,2014-01-03,2017-03-08,2017-03-08,https://patents.google.com/patent/JP6092426B2/en,https://patentimages.storage.googleapis.com/5c/51/fe/b26dc8a612d7e2/0006092426-2.png
CN-107567351-B,Method and device for producing methane/gaseous and/or liquid hydrocarbons ,"太阳火有限公司, 克利梅沃克斯股份公司","C·冯诺莎乌森, D·吕格尔, J·A·乌巴赫, C·格巴德",2015-04-08,2016-04-07,2021-09-07,2021-09-07,https://patents.google.com/patent/CN107567351B/en,https://patentimages.storage.googleapis.com/c9/5c/32/a9b309fae1090c/HDA0001453944810000011.png
US-11111424-B2,"Heat transfer compositions, methods, and systems ",Honeywell International Inc.,"Samuel F. Yana Motta, Michael Petersen, Ankit Sethi, Elizabet del Carmen Vera Becerra, Yang Zou, Gregory Smith",2017-11-17,2018-11-17,2021-09-07,2021-09-07,https://patents.google.com/patent/US11111424B2/en,https://patentimages.storage.googleapis.com/71/73/7f/4cbbb967bdbc0f/US11111424-20210907-D00000.png
AU-2016276960-B2,System and method for biomass growth and processing ,Brisa International Llc,"Kevin C. Harmon, Eugene T. Holmes, Shannon M. Johnson",2015-06-10,2016-06-10,2021-03-18,2021-03-18,https://patents.google.com/patent/AU2016276960B2/en,
